Source,Target,Type,Id,Label,timeset,Weight,attr_type,matchings_count
grantnumber_c09823961870565d6322563133bb3884,entityid_97b676409fa9ecb5cc8620c6d81c9445,Undirected,23081,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_e3f03cc3c19748ba0f7716faeced1531,Undirected,23082,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_a0e19d8a8ab25eb97f4d2a7b8ec95b38,Undirected,23083,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_7fe2a87331ee069c237960d5bdf835d0,Undirected,23084,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_5a6ae489516640381edc52429e511057,Undirected,23085,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_2d94e8b2bfa3c2fcd2cb7b05b0fdd8b2,Undirected,23086,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_89adac97a8de412013e83da1e6c830d6,Undirected,23087,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_ed624ab5013a22a45caf6568723c5ec3,Undirected,23088,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_6cf73211c09beb851c5024da533f8545,Undirected,23089,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_336901f411845a0ff48d93fced57e672,Undirected,23090,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_fc0cf2b7c66ad969f8cbe78a7463a76c,Undirected,23091,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_ed7226a321128b04db6ced3c18923585,Undirected,23092,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_5af6d84cf1c0464d878d189e375a099c,Undirected,23093,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_dc3fa018fcc55c9d1f669c4df6890215,Undirected,23094,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_744e5edb9ad8e65bbd0005951009a42f,Undirected,23095,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_44980ea4280f26c81f53122a8c01cce7,Undirected,23096,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_d77fa7dae764c840b33a4b6bdd30f0a0,Undirected,23097,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_aa49e1d21a1ef3006a9cf3e28108f44f,Undirected,23098,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_3c648e0564d5fd85c11f49ef5751eb50,Undirected,23099,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_73a56552eed596ac5a255801cd22aa48,Undirected,23100,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_17838a17eb3b0a38808f7157c12fc847,Undirected,23101,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_bd0bf5e45c40893512bea49c6a1bc575,Undirected,23102,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_357c3d0a3039cc9330c02e086ed8a1b9,Undirected,23103,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_667927fe5353dffdc9b31b25d18c62c7,Undirected,23104,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_fec57a635d522cae4c6b9617d3faa6fa,Undirected,23105,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_3700851bba202f608a7617c1814cc716,Undirected,23106,,,1,,1
