date,time,desc,boro,lat,lon
07/04/2016,14:40:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.682807656,-73.767816313
07/04/2016,02:53:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.842271968,-73.905032007
07/04/2016,00:06:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.676152237,-73.89306867399999
07/03/2016,17:00:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.691103256999995,-73.91287755399999
07/03/2016,16:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.814000554,-73.900780541
06/30/2016,19:02:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.620759553,-74.01054859899999
06/30/2016,02:27:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.670869804,-73.86317105
06/29/2016,22:48:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.675727746,-73.921495901
06/29/2016,21:45:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.66357893,-73.896646458
06/29/2016,21:17:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.850660186999995,-73.908920209
06/26/2016,08:15:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.669788059,-73.958293685
06/26/2016,00:01:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.709186497,-73.81915607100001
06/23/2016,23:17:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.81725838,-73.94040458100001
06/23/2016,22:48:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.671025464,-73.906195082
06/23/2016,16:42:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.872596004,-73.825563635
06/20/2016,16:52:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.827871665,-73.864958422
06/19/2016,18:25:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.860655553,-73.895006204
06/19/2016,14:26:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.680494853,-73.86709561100001
06/18/2016,03:27:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.825100443000004,-73.89485635
06/17/2016,23:18:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.847277155,-73.910442906
06/15/2016,22:27:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.666231521,-73.922538001
06/15/2016,18:21:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.69969571,-73.98169156899999
06/15/2016,18:12:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.786006915,-73.845738305
06/15/2016,17:54:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.680096471999995,-73.912556632
06/15/2016,06:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.886052491,-73.8614443
06/12/2016,19:15:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.745435545999996,-73.864353209
06/12/2016,02:58:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.671411663,-73.88151172399999
06/11/2016,23:35:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.820261474,-73.897877215
06/11/2016,22:15:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.816805565,-73.90726130600001
06/11/2016,21:39:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.846741539,-73.906482233
06/07/2016,21:04:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.684998930999996,-73.93844593
06/06/2016,21:34:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.693065804,-73.999543473
06/05/2016,04:48:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.670206898,-73.923942878
06/05/2016,00:36:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.679670066,-73.936136211
06/04/2016,05:50:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.708909009,-73.965804097
06/03/2016,01:52:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.722273155,-73.976342426
06/01/2016,22:38:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.696493892,-73.949430815
05/31/2016,17:56:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.637804468,-73.942377197
